ASSERTION	AAEDAAECAwAAAAAAAIizQA==
RUN	mysimulations.Gatling30	gatling30	1670494244801	Gatling Execution	3.6.1
USER	BlazeHomePage	START	1670494247293
REQUEST	Homepage_tx	Homepage_request	1670494247322	1670494248203	OK	 
REQUEST	Homepage_tx	jquery.min.js	1670494248332	1670494248653	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494248589	1670494248953	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494248590	1670494249665	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494248591	1670494249749	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494248592	1670494250330	OK	 
GROUP	Homepage_tx	1670494247297	1670494250337	2896	OK
USER	BlazeHomePage	START	1670494253293
REQUEST	Homepage_tx	Homepage_request	1670494253293	1670494253925	OK	 
REQUEST	Homepage_tx	jquery.min.js	1670494253934	1670494254038	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494253935	1670494254288	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494253937	1670494254442	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494253936	1670494255050	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494253936	1670494255718	OK	 
GROUP	Homepage_tx	1670494253293	1670494255801	2500	OK
REQUEST	FindFlight_tx	FindFlightRequest	1670494255360	1670494255788	OK	 
REQUEST	FindFlight_tx	bootstrap.min.js	1670494255872	1670494256134	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494255878	1670494256138	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494255876	1670494256144	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494255874	1670494256147	OK	 
GROUP	FindFlight_tx	1670494255353	1670494256148	705	OK
USER	BlazeHomePage	START	1670494260293
REQUEST	Homepage_tx	Homepage_request	1670494260293	1670494260859	OK	 
REQUEST	Homepage_tx	jquery.min.js	1670494260865	1670494260960	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494260817	1670494261161	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494260867	1670494261348	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494261177	1670494261451	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494261176	1670494261455	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494261174	1670494261457	OK	 
REQUEST	FindFlight_tx	bootstrap.min.js	1670494261173	1670494261459	OK	 
GROUP	FindFlight_tx	1670494260816	1670494261461	634	OK
REQUEST	Homepage_tx	bootstrap.min.css	1670494260870	1670494261535	OK	 
REQUEST	SelectFlight_tx	SelectFlight_request	1670494261158	1670494261592	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494260868	1670494261703	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494260872	1670494261767	OK	 
GROUP	Homepage_tx	1670494260293	1670494261775	1476	OK
REQUEST	SelectFlight_tx	bootstrap-table.js	1670494261715	1670494261964	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.css	1670494261715	1670494261984	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.js	1670494261714	1670494261985	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.css	1670494261716	1670494262004	OK	 
GROUP	SelectFlight_tx	1670494261155	1670494262005	726	OK
USER	BlazeHomePage	START	1670494266283
REQUEST	Homepage_tx	Homepage_request	1670494266283	1670494266853	OK	 
REQUEST	Homepage_tx	jquery.min.js	1670494266859	1670494266932	OK	 
REQUEST	SelectFlight_tx	SelectFlight_request	1670494266465	1670494266945	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494266790	1670494267190	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494266862	1670494267266	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.css	1670494267076	1670494267331	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.js	1670494267075	1670494267334	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.js	1670494267075	1670494267335	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.css	1670494267076	1670494267345	OK	 
GROUP	SelectFlight_tx	1670494266464	1670494267346	752	OK
REQUEST	FindFlight_tx	bootstrap.min.js	1670494267198	1670494267449	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494267199	1670494267459	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494267200	1670494267478	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494267200	1670494267480	OK	 
GROUP	FindFlight_tx	1670494266790	1670494267482	684	OK
REQUEST	Homepage_tx	bootstrap-table.css	1670494266866	1670494267500	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494266863	1670494267556	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494266865	1670494267976	OK	 
GROUP	Homepage_tx	1670494266283	1670494268111	1823	OK
REQUEST	SelectFlight_tx	SelectFlight_request	1670494272495	1670494272863	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.css	1670494272872	1670494273123	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.css	1670494272871	1670494273143	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.js	1670494272868	1670494273145	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.js	1670494272870	1670494273146	OK	 
GROUP	SelectFlight_tx	1670494272495	1670494273147	647	OK
USER	BlazeHomePage	START	1670494273299
REQUEST	FindFlight_tx	FindFlightRequest	1670494273113	1670494273498	OK	 
REQUEST	Homepage_tx	Homepage_request	1670494273300	1670494273735	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494273508	1670494273763	OK	 
REQUEST	FindFlight_tx	bootstrap.min.js	1670494273507	1670494273765	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494273508	1670494273767	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494273510	1670494273776	OK	 
GROUP	FindFlight_tx	1670494273113	1670494273779	657	OK
REQUEST	Homepage_tx	jquery.min.js	1670494273739	1670494273838	OK	 
